x,y,exact solution,numerical approximation,absolute error
0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
0.0,0.125,0.0,0.0,0.0
0.125,0.125,1.5625,1.562499999998685,1.3149481503660354e-12
0.25,0.125,3.125,3.1249999999977556,2.2444268665822165e-12
0.375,0.125,4.6875,4.687499999997291,2.708944180085382e-12
0.5,0.125,6.25,6.249999999997291,2.708944180085382e-12
0.625,0.125,7.8125,7.812499999997688,2.311928426479426e-12
0.75,0.125,9.375,9.374999999998366,1.6342482922482304e-12
0.875,0.125,10.9375,10.937499999999183,8.171241461241152e-13
1.0,0.125,12.5,12.5,0.0
0.0,0.25,0.0,0.0,0.0
0.125,0.25,3.125,3.1249999999977556,2.2444268665822165e-12
0.25,0.25,6.25,6.249999999996168,3.83160170258634e-12
0.375,0.25,9.375,9.374999999995376,4.623856852958852e-12
0.5,0.25,12.5,12.499999999995376,4.623856852958852e-12
0.625,0.25,15.625,15.624999999996055,3.945288540307956e-12
0.75,0.25,18.75,18.74999999999721,2.7888802378583932e-12
0.875,0.25,21.875,21.874999999998607,1.3926637620897964e-12
1.0,0.25,25.0,25.0,0.0
0.0,0.375,0.0,0.0,0.0
0.125,0.375,4.6875,4.687499999997291,2.708944180085382e-12
0.25,0.375,9.375,9.374999999995374,4.625633209798252e-12
0.375,0.375,14.0625,14.062499999994419,5.581313189395587e-12
0.5,0.375,18.75,18.749999999994422,5.5777604757167865e-12
0.625,0.375,23.4375,23.43749999999524,4.760636329592671e-12
0.75,0.375,28.125,28.124999999996632,3.367972567502875e-12
0.875,0.375,32.8125,32.812499999998316,1.6839862837514374e-12
1.0,0.375,37.5,37.5,0.0
0.0,0.5,0.0,0.0,0.0
0.125,0.5,6.25,6.249999999997291,2.708944180085382e-12
0.25,0.5,12.5,12.499999999995376,4.623856852958852e-12
0.375,0.5,18.75,18.74999999999442,5.581313189395587e-12
0.5,0.5,25.0,24.99999999999442,5.581313189395587e-12
0.625,0.5,31.25,31.249999999995236,4.764189043271472e-12
0.75,0.5,37.5,37.49999999999663,3.367972567502875e-12
0.875,0.5,43.75,43.749999999998316,1.6839862837514374e-12
1.0,0.5,50.0,50.0,0.0
0.0,0.625,0.0,0.0,0.0
0.125,0.625,7.8125,7.812499999997687,2.312816604899126e-12
0.25,0.625,15.625,15.624999999996053,3.9470648971473565e-12
0.375,0.625,23.4375,23.437499999995232,4.767741756950272e-12
0.5,0.625,31.25,31.249999999995236,4.764189043271472e-12
0.625,0.625,39.0625,39.062499999995936,4.064304448547773e-12
0.75,0.625,46.875,46.87499999999713,2.8705926524708048e-12
0.875,0.625,54.6875,54.687499999998565,1.4352963262354024e-12
1.0,0.625,62.5,62.5,0.0
0.0,0.75,0.0,0.0,0.0
0.125,0.75,9.375,9.374999999998364,1.6360246490876307e-12
0.25,0.75,18.75,18.749999999997208,2.7924329515371937e-12
0.375,0.75,28.125,28.12499999999663,3.3715252811816754e-12
0.5,0.75,37.5,37.49999999999663,3.367972567502875e-12
0.625,0.75,46.875,46.87499999999713,2.8705926524708048e-12
0.75,0.75,56.25,56.24999999999797,2.0321522242738865e-12
0.875,0.75,65.625,65.62499999999898,1.0231815394945443e-12
1.0,0.75,75.0,75.0,0.0
0.0,0.875,0.0,0.0,0.0
0.125,0.875,10.9375,10.937499999999181,8.189005029635155e-13
0.25,0.875,21.875,21.874999999998604,1.3962164757685969e-12
0.375,0.875,32.8125,32.812499999998316,1.6839862837514374e-12
0.5,0.875,43.75,43.749999999998316,1.6839862837514374e-12
0.625,0.875,54.6875,54.687499999998565,1.4352963262354024e-12
0.75,0.875,65.625,65.62499999999898,1.0231815394945443e-12
0.875,0.875,76.5625,76.56249999999949,5.115907697472721e-13
1.0,0.875,87.5,87.5,0.0
0.0,1.0,0.0,0.0,0.0
0.125,1.0,12.5,12.5,0.0
0.25,1.0,25.0,25.0,0.0
0.375,1.0,37.5,37.5,0.0
0.5,1.0,50.0,50.0,0.0
0.625,1.0,62.5,62.5,0.0
0.75,1.0,75.0,75.0,0.0
0.875,1.0,87.5,87.5,0.0
1.0,1.0,100.0,100.0,0.0
